Hit;Tool;ShapesLanguage;Size;ElapsedTime_ms
8;astrea;SHACL;100000;1562
9;astrea;SHACL;100000;1595
10;astrea;SHACL;100000;1595
11;astrea;SHACL;100000;1580
12;astrea;SHACL;100000;1620
13;astrea;SHACL;100000;1508
14;astrea;SHACL;100000;1581
15;astrea;SHACL;100000;1558
16;astrea;SHACL;100000;1597
17;astrea;SHACL;100000;1589
18;astrea;SHACL;100000;1564
19;astrea;SHACL;100000;1558
20;astrea;SHACL;100000;1617
21;astrea;SHACL;100000;1563
22;astrea;SHACL;100000;1582
23;astrea;SHACL;100000;1620
24;astrea;SHACL;100000;1521
25;astrea;SHACL;100000;1594
26;astrea;SHACL;100000;1545
27;astrea;SHACL;100000;1569
28;astrea;SHACL;100000;1579
29;astrea;SHACL;100000;1577
30;astrea;SHACL;100000;1537
1;astrea;SHACL;1000000;1578
2;astrea;SHACL;1000000;1552
3;astrea;SHACL;1000000;1579
4;astrea;SHACL;1000000;1537
5;astrea;SHACL;1000000;1562
6;astrea;SHACL;1000000;1566
7;astrea;SHACL;1000000;1548
8;astrea;SHACL;1000000;1554
9;astrea;SHACL;1000000;1547
10;astrea;SHACL;1000000;1515
11;astrea;SHACL;1000000;1563
12;astrea;SHACL;1000000;1507
13;astrea;SHACL;1000000;1527
14;astrea;SHACL;1000000;1529
15;astrea;SHACL;1000000;1526
16;astrea;SHACL;1000000;1520
17;astrea;SHACL;1000000;1546
18;astrea;SHACL;1000000;1515
19;astrea;SHACL;1000000;1558
20;astrea;SHACL;1000000;1557
21;astrea;SHACL;1000000;1493
22;astrea;SHACL;1000000;1529
23;astrea;SHACL;1000000;1528
24;astrea;SHACL;1000000;1562
25;astrea;SHACL;1000000;1535
26;astrea;SHACL;1000000;1578
27;astrea;SHACL;1000000;1548
28;astrea;SHACL;1000000;1559
29;astrea;SHACL;1000000;1615
30;astrea;SHACL;1000000;1552
1;SCOOP;SHACL;1000;1490
2;SCOOP;SHACL;1000;857
3;SCOOP;SHACL;1000;842
4;SCOOP;SHACL;1000;910
5;SCOOP;SHACL;1000;841
6;SCOOP;SHACL;1000;886
7;SCOOP;SHACL;1000;883
8;SCOOP;SHACL;1000;830
9;SCOOP;SHACL;1000;849
10;SCOOP;SHACL;1000;832
11;SCOOP;SHACL;1000;851
12;SCOOP;SHACL;1000;818
13;SCOOP;SHACL;1000;883
14;SCOOP;SHACL;1000;892
15;SCOOP;SHACL;1000;868
16;SCOOP;SHACL;1000;822
17;SCOOP;SHACL;1000;900
18;SCOOP;SHACL;1000;889
19;SCOOP;SHACL;1000;905
20;SCOOP;SHACL;1000;854
21;SCOOP;SHACL;1000;874
22;SCOOP;SHACL;1000;849
23;SCOOP;SHACL;1000;828
24;SCOOP;SHACL;1000;889
25;SCOOP;SHACL;1000;915
26;SCOOP;SHACL;1000;898
27;SCOOP;SHACL;1000;890
28;SCOOP;SHACL;1000;857
29;SCOOP;SHACL;1000;925
30;SCOOP;SHACL;1000;935
1;SCOOP;SHACL;10000;897
2;SCOOP;SHACL;10000;839
3;SCOOP;SHACL;10000;812
4;SCOOP;SHACL;10000;910
5;SCOOP;SHACL;10000;907
